tms_inds,tms_vals
"[1, 1, 1, 1]",1
"[1, 1, 1, 10]",1
"[1, 1, 10, 10]",1
"[1, 10, 10, 10]",1
"[2, 2, 2, 2]",6
"[2, 2, 2, 4]",2
"[2, 2, 2, 8]",2
"[2, 2, 2, 9]",2
"[2, 2, 4, 4]",2
"[2, 2, 4, 8]",1
"[2, 2, 4, 9]",1
"[2, 2, 8, 8]",2
"[2, 2, 8, 9]",1
"[2, 2, 9, 9]",2
"[2, 4, 4, 4]",2
"[2, 4, 4, 8]",1
"[2, 4, 4, 9]",1
"[2, 4, 8, 8]",1
"[2, 4, 8, 9]",1
"[2, 4, 9, 9]",1
"[2, 8, 8, 8]",2
"[2, 8, 8, 9]",1
"[2, 8, 9, 9]",1
"[2, 9, 9, 9]",2
"[4, 4, 4, 4]",6
"[4, 4, 4, 8]",2
"[4, 4, 4, 9]",2
"[4, 4, 8, 8]",2
"[4, 4, 8, 9]",1
"[4, 4, 9, 9]",2
"[4, 8, 8, 8]",2
"[4, 8, 8, 9]",1
"[4, 8, 9, 9]",1
"[4, 9, 9, 9]",2
"[5, 5, 5, 5]",2
"[5, 5, 5, 7]",1
"[5, 5, 5, 9]",1
"[5, 5, 7, 7]",1
"[5, 5, 7, 9]",1
"[5, 5, 9, 9]",1
"[5, 7, 7, 7]",1
"[5, 7, 7, 9]",1
"[5, 7, 9, 9]",1
"[5, 9, 9, 9]",1
"[6, 6, 6, 6]",3
"[6, 6, 6, 7]",1
"[6, 6, 6, 9]",1
"[6, 6, 6, 10]",1
"[6, 6, 7, 7]",1
"[6, 6, 7, 9]",1
"[6, 6, 9, 9]",1
"[6, 6, 10, 10]",1
"[6, 7, 7, 7]",1
"[6, 7, 7, 9]",1
"[6, 7, 9, 9]",1
"[6, 9, 9, 9]",1
"[6, 10, 10, 10]",1
"[7, 7, 7, 7]",4
"[7, 7, 7, 9]",2
"[7, 7, 9, 9]",2
"[7, 9, 9, 9]",2
"[8, 8, 8, 8]",8
"[8, 8, 8, 9]",3
"[8, 8, 8, 10]",1
"[8, 8, 9, 9]",3
"[8, 8, 9, 10]",1
"[8, 8, 10, 10]",1
"[8, 9, 9, 9]",3
"[8, 9, 9, 10]",1
"[8, 9, 10, 10]",1
"[8, 10, 10, 10]",1
"[9, 9, 9, 9]",12
"[9, 9, 9, 10]",1
"[9, 9, 10, 10]",1
"[9, 10, 10, 10]",1
"[10, 10, 10, 10]",4
